symbol,isin,company_name,sector_platform,review_reason
AERONEU,INE035801013,Aeroflex Neu Limited,OTHER,UNCATEGORIZED_SECTOR
AETHER,INE0BWX01014,Aether Industries Limited,OTHER,UNCATEGORIZED_SECTOR
AGI,INE415A01038,AGI Greenpac Limited,OTHER,UNCATEGORIZED_SECTOR
AHLADA,INE00ZB01015,Ahlada Engineers Limited,OTHER,UNCATEGORIZED_SECTOR
AKG,INE00ZB01023,Akg Exim Limited,OTHER,UNCATEGORIZED_SECTOR
ALLTIME,INE0GV601021,All Time Plastics Limited,OTHER,UNCATEGORIZED_SECTOR
AMDIND,INE005I01014,AMD Industries Limited,OTHER,UNCATEGORIZED_SECTOR
ANDHRAPAP,INE435A01051,ANDHRA PAPER LIMITED,OTHER,UNCATEGORIZED_SECTOR
ANTGRAPHIC,INE00ZB01031,Antarctica Limited,OTHER,UNCATEGORIZED_SECTOR
ARROWGREEN,INE570D01018,Arrow Greentech Limited,OTHER,UNCATEGORIZED_SECTOR
BALAJEE,INE0S2G01011,Shree Tirupati Balajee Agro Trading Company Limited,OTHER,UNCATEGORIZED_SECTOR
BALKRISHNA,INE875R01011,Balkrishna Paper Mills Limited,OTHER,UNCATEGORIZED_SECTOR
BBTCL,INE01EE01011,B&B Triplewall Containers Limited,OTHER,UNCATEGORIZED_SECTOR
BIRLANU,INE557A01011,BirlaNu Limited,OTHER,UNCATEGORIZED_SECTOR
BOROLTD,INE02PY01013,Borosil Limited,OTHER,UNCATEGORIZED_SECTOR
CELLO,INE0LMW01024,Cello World Limited,OTHER,UNCATEGORIZED_SECTOR
CNL,INE985W01018,Creative Newtech Limited,OTHER,UNCATEGORIZED_SECTOR
COSMOFIRST,INE757A01017,COSMO FIRST LIMITED,OTHER,UNCATEGORIZED_SECTOR
DELTACORP,INE124G01033,Delta Corp Limited,OTHER,UNCATEGORIZED_SECTOR
DSSL,INE417B01040,Dynacons Systems & Solutions Limited,OTHER,UNCATEGORIZED_SECTOR
EMAMIPAP,INE830C01026,Emami Paper Mills Limited,OTHER,UNCATEGORIZED_SECTOR
EMMBI,INE753K01015,Emmbi Industries Limited,OTHER,UNCATEGORIZED_SECTOR
EPL,INE255A01020,EPL Limited,OTHER,UNCATEGORIZED_SECTOR
ESTER,INE778B01029,Ester Industries Limited,OTHER,UNCATEGORIZED_SECTOR
EUROPRATIK,INE198501012,Euro Pratik Sales Limited,OTHER,UNCATEGORIZED_SECTOR
FLEXITUFF,INE060J01017,Flexituff Ventures International Limited,OTHER,UNCATEGORIZED_SECTOR
GENUSPAPER,INE949P01018,Genus Paper & Boards Limited,OTHER,UNCATEGORIZED_SECTOR
GOYALALUM,INE705X01026,Goyal Aluminiums Limited,OTHER,UNCATEGORIZED_SECTOR
GUJRAFFIA,INE610B01024,Gujarat Raffia Industries Limited,OTHER,UNCATEGORIZED_SECTOR
HALDYNGL,INE506D01020,Haldyn Glass Limited,OTHER,UNCATEGORIZED_SECTOR
HARDWYN,INE626Z01029,Hardwyn India Limited,OTHER,UNCATEGORIZED_SECTOR
HAWKINCOOK,INE979B01015,Hawkins Cookers Limited,OTHER,UNCATEGORIZED_SECTOR
HUHTAMAKI,INE275B01026,Huhtamaki India Limited,OTHER,UNCATEGORIZED_SECTOR
ICICIAMC,INE346A01027,ICICI Prudential Asset Management Company Limited,OTHER,UNCATEGORIZED_SECTOR
IMAGICAA,INE172N01012,Imagicaaworld Entertainment Limited,OTHER,UNCATEGORIZED_SECTOR
IWP,INE586E01020,The Indian Wood Products Company Limited,OTHER,UNCATEGORIZED_SECTOR
JINDALPOLY,INE197D01010,Jindal Poly Films Limited,OTHER,UNCATEGORIZED_SECTOR
JKPAPER,INE789E01012,JK Paper Limited,OTHER,UNCATEGORIZED_SECTOR
KANPRPLA,INE694E01014,Kanpur Plastipack Limited,OTHER,UNCATEGORIZED_SECTOR
KOTHARIPRO,INE823A01017,Kothari Products Limited,OTHER,UNCATEGORIZED_SECTOR
KOTYARK,INE0J0B01017,Kotyark Industries Limited,OTHER,UNCATEGORIZED_SECTOR
KUANTUM,INE529I01021,Kuantum Papers Limited,OTHER,UNCATEGORIZED_SECTOR
LAHOTIOV,INE515C01023,Lahoti Overseas Limited,OTHER,UNCATEGORIZED_SECTOR
LANDSMILL,INE688J01023,Landsmill Green Limited,OTHER,UNCATEGORIZED_SECTOR
LEXUS,INE00ZB01270,Lexus Granito (India) Limited,OTHER,UNCATEGORIZED_SECTOR
MAGNUM,INE387I01016,Magnum Ventures Limited,OTHER,UNCATEGORIZED_SECTOR
MALUPAPER,INE383H01017,Malu Paper Mills Limited,OTHER,UNCATEGORIZED_SECTOR
METROGLOBL,INE085D01033,Metroglobal Limited,OTHER,UNCATEGORIZED_SECTOR
MMTC,INE123F01029,MMTC Limited,OTHER,UNCATEGORIZED_SECTOR
MOLDTECH,INE835B01035,Mold-Tek Technologies Limited,OTHER,UNCATEGORIZED_SECTOR
MOLDTKPAC,INE893J01029,Mold-Tek Packaging Limited,OTHER,UNCATEGORIZED_SECTOR
MSTCLTD,INE255X01014,Mstc Limited,OTHER,UNCATEGORIZED_SECTOR
NAHARPOLY,INE308A01027,Nahar Poly Films Limited,OTHER,UNCATEGORIZED_SECTOR
NAM-INDIA,INE298J01013,Nippon Life India Asset Management Limited,OTHER,UNCATEGORIZED_SECTOR
NRAIL,INE740D01017,N R Agarwal Industries Limited,OTHER,UNCATEGORIZED_SECTOR
OMNI,INE0UH301010,Omnitech Engineering Limited,OTHER,UNCATEGORIZED_SECTOR
ORIENTLTD,INE609C01024,Orient Press Limited,OTHER,UNCATEGORIZED_SECTOR
ORIENTPPR,INE592A01026,Orient Paper & Industries Limited,OTHER,UNCATEGORIZED_SECTOR
PAKKA,INE551D01018,PAKKA LIMITED,OTHER,UNCATEGORIZED_SECTOR
PDMJEPAPER,INE865T01018,Pudumjee Paper Products Limited,OTHER,UNCATEGORIZED_SECTOR
PIIND,INE603J01030,PI Industries Limited,OTHER,UNCATEGORIZED_SECTOR
POLYPLEX,INE633B01018,Polyplex Corporation Limited,OTHER,UNCATEGORIZED_SECTOR
PRITI,INE00ZB01460,Priti International Limited,OTHER,UNCATEGORIZED_SECTOR
PRUDENT,INE00F201020,Prudent Corporate Advisory Services Limited,OTHER,UNCATEGORIZED_SECTOR
PYRAMID,INE0MIS01010,Pyramid Technoplast Limited,OTHER,UNCATEGORIZED_SECTOR
RAMANEWS,INE278B01020,Shree Rama Newsprint Limited,OTHER,UNCATEGORIZED_SECTOR
REDINGTON,INE891D01026,Redington Limited,OTHER,UNCATEGORIZED_SECTOR
RESPONIND,INE688D01026,Responsive Industries Limited,OTHER,UNCATEGORIZED_SECTOR
RPPL,INE00ZB01494,Rajshree Polypack Limited,OTHER,UNCATEGORIZED_SECTOR
RUBFILA,INE642C01025,Rubfila International Limited,OTHER,UNCATEGORIZED_SECTOR
RUCHIRA,INE803H01014,Ruchira Papers Limited,OTHER,UNCATEGORIZED_SECTOR
SAPPL,INE185C01017,Shree Ajit Pulp & Paper Limited,OTHER,UNCATEGORIZED_SECTOR
SASKEN,INE231F01020,Sasken Technologies Limited,OTHER,UNCATEGORIZED_SECTOR
SATIA,INE170E01023,Satia Industries Limited,OTHER,UNCATEGORIZED_SECTOR
SESHAPAPER,INE630A01024,Seshasayee Paper and Boards Limited,OTHER,UNCATEGORIZED_SECTOR
SFL,INE916U01025,Sheela Foam Limited,OTHER,UNCATEGORIZED_SECTOR
SHIVAUM,INE00ZB01569,Shiv Aum Steels Limited,OTHER,UNCATEGORIZED_SECTOR
SHREERAMA,INE879A01019,Shree Rama Multi-Tech Limited,OTHER,UNCATEGORIZED_SECTOR
SHREYANIND,INE231C01019,Shreyans Industries Limited,OTHER,UNCATEGORIZED_SECTOR
SICAGEN,INE176J01011,Sicagen India Limited,OTHER,UNCATEGORIZED_SECTOR
SIS,INE285J01028,SIS LIMITED,OTHER,UNCATEGORIZED_SECTOR
SPCENET,INE870C01014,Spacenet Enterprises India Limited,OTHER,UNCATEGORIZED_SECTOR
STANLEY,INE01A001028,Stanley Lifestyles Limited,OTHER,UNCATEGORIZED_SECTOR
STARPAPER,INE733A01018,Star Paper Mills Limited,OTHER,UNCATEGORIZED_SECTOR
STCINDIA,INE655A01013,The State Trading Corporation of India Limited,OTHER,UNCATEGORIZED_SECTOR
SUPRAJIT,INE399C01030,Suprajit Engineering Limited,OTHER,UNCATEGORIZED_SECTOR
TARACHAND,INE00ZB01676,Tara Chand InfraLogistic Solutions Limited,OTHER,UNCATEGORIZED_SECTOR
TCPLPACK,INE822C01015,TCPL Packaging Limited,OTHER,UNCATEGORIZED_SECTOR
TNPL,INE107A01015,Tamil Nadu Newsprint & Papers Limited,OTHER,UNCATEGORIZED_SECTOR
TOUCHWOOD,INE00ZB01718,Touchwood Entertainment Limited,OTHER,UNCATEGORIZED_SECTOR
TPLPLASTEH,INE413G01022,TPL Plastech Limited,OTHER,UNCATEGORIZED_SECTOR
TVSSCS,INE395N01027,TVS Supply Chain Solutions Limited,OTHER,UNCATEGORIZED_SECTOR
UFLEX,INE516A01017,UFLEX Limited,OTHER,UNCATEGORIZED_SECTOR
UMAEXPORTS,INE0GIU01018,Uma Exports Limited,OTHER,UNCATEGORIZED_SECTOR
UTIAMC,INE094J01016,UTI Asset Management Company Limited,OTHER,UNCATEGORIZED_SECTOR
VIKASLIFE,INE161L01027,Vikas Lifecare Limited,OTHER,UNCATEGORIZED_SECTOR
VINCOFE,INE498Q01014,Vintage Coffee And Beverages Limited,OTHER,UNCATEGORIZED_SECTOR
WAKEFIT,INE0E7301029,Wakefit Innovations Limited,OTHER,UNCATEGORIZED_SECTOR
WEWORK,INE085001019,WeWork India Management Limited,OTHER,UNCATEGORIZED_SECTOR
WONDERLA,INE066O01014,Wonderla Holidays Limited,OTHER,UNCATEGORIZED_SECTOR
WORTHPERI,INE196Y01018,Worth Peripherals Limited,OTHER,UNCATEGORIZED_SECTOR
WSTCSTPAPR,INE976A01021,West Coast Paper Mills Limited,OTHER,UNCATEGORIZED_SECTOR
XPROINDIA,INE445C01015,Xpro India Limited,OTHER,UNCATEGORIZED_SECTOR
