NSE_SYMBOL,NSE_COMPANY,BSE_SYMBOL,BSE_COMPANY,ISIN,MATCH_METHOD,MATCH_CONFIDENCE
3PLAND,3P Land Holdings Limited,,,,UNMATCHED,0
AAKASH,Aakash Exploration Services Limited,,,,UNMATCHED,0
AARON,Aaron Industries Limited,,,,UNMATCHED,0
AARVI,Aarvi Encon Limited,,,,UNMATCHED,0
ABMINTLLTD,ABM International Limited,,,,UNMATCHED,0
ACEINTEG,Ace Integrated Solutions Limited,,,,UNMATCHED,0
ADL,Archidply Decor Limited,,,,UNMATCHED,0
AGROPHOS,Agro Phos India Limited,,,,UNMATCHED,0
AHLADA,Ahlada Engineers Limited,,,,UNMATCHED,0
AIROLAM,Airo Lam limited,,,,UNMATCHED,0
AJOONI,Ajooni Biotech Limited,,,,UNMATCHED,0
AKASH,Akash Infra-Projects Limited,,,,UNMATCHED,0
AKG,Akg Exim Limited,,,,UNMATCHED,0
ANSALAPI,Ansal Properties & Infrastructure Limited,,,,UNMATCHED,0
ANTGRAPHIC,Antarctica Limited,,,,UNMATCHED,0
APCL,Anjani Portland Cement Limited,,,,UNMATCHED,0
APOLSINHOT,Apollo Sindoori Hotels Limited,,,,UNMATCHED,0
AROGRANITE,Aro Granite Industries Limited,,,,UNMATCHED,0
ARTNIRMAN,Art Nirman Limited,,,,UNMATCHED,0
ARVEE,Arvee Laboratories (India) Limited,,,,UNMATCHED,0
ASPINWALL,Aspinwall and Company Limited,,,,UNMATCHED,0
AURIGROW,Auri Grow India Limited,,,,UNMATCHED,0
AYMSYNTEX,AYM Syntex Limited,,,,UNMATCHED,0
BALAXI,BALAXI PHARMACEUTICALS LIMITED,,,,UNMATCHED,0
BANKA,Banka BioLoo Limited,,,,UNMATCHED,0
BEARDSELL,Beardsell Limited,,,,UNMATCHED,0
BETA,Beta Drugs Limited,,,,UNMATCHED,0
BLUECOAST,Blue Coast Hotels Limited,,,,UNMATCHED,0
BOHRAIND,Bohra Industries Limited,,,,UNMATCHED,0
BSE,BSE Limited,,,,UNMATCHED,0
BSHSL,Bombay Super Hybrid Seeds Limited,,,,UNMATCHED,0
CDSL,Central Depository Services (India) Limited,,,,UNMATCHED,0
CLCIND,CLC Industries Limited,,,,UNMATCHED,0
CONSOFINVT,Consolidated Finvest & Holdings Limited,,,,UNMATCHED,0
CROWN,Crown Lifters Limited,,,,UNMATCHED,0
CURAA,Cura Technologies Limited,,,,UNMATCHED,0
DANGEE,Dangee Dums Limited,,,,UNMATCHED,0
DGCONTENT,Digicontent Limited,,,,UNMATCHED,0
DPSCLTD,DPSC Limited,,,,UNMATCHED,0
E2E,E2E Networks Limited,,,,UNMATCHED,0
EIFFL,Euro India Fresh Foods Limited,,,,UNMATCHED,0
ELGIRUBCO,Elgi Rubber Company Limited,,,,UNMATCHED,0
FOCUS,Focus Lighting and Fixtures Limited,,,,UNMATCHED,0
GANGAFORGE,Ganga Forging Limited,,,,UNMATCHED,0
GEEKAYWIRE,Geekay Wires Limited,,,,UNMATCHED,0
GICL,Globe International Carriers Limited,,,,UNMATCHED,0
GKWLIMITED,GKW Limited,,,,UNMATCHED,0
GLFL,Gujarat Lease Financing Limited,,,,UNMATCHED,0
GLOBAL,Global Education Limited,,,,UNMATCHED,0
GLOBE,GLOBE ENTERPRISES (INDIA) LIMITED,,,,UNMATCHED,0
GRADIENTE,Gradiente Infotainment Limited,,,,UNMATCHED,0
GROBTEA,The Grob Tea Company Limited,,,,UNMATCHED,0
GTECJAINX,G-TEC JAINX EDUCATION LIMITED,,,,UNMATCHED,0
GVPTECH,GVP Infotech Limited,,,,UNMATCHED,0
HECPROJECT,HEC Infra Projects Limited,,,,UNMATCHED,0
HINDCON,Hindcon Chemicals Limited,,,,UNMATCHED,0
HISARMETAL,Hisar Metal Industries Limited,,,,UNMATCHED,0
HPIL,Hindprakash Industries Limited,,,,UNMATCHED,0
ICDSLTD,ICDS Limited,,,,UNMATCHED,0
ICEMAKE,Ice Make Refrigeration Limited,,,,UNMATCHED,0
IRISDOREME,Iris Clothings Limited,,,,UNMATCHED,0
JAIPURKURT,Nandani Creation Limited,,,,UNMATCHED,0
JMA,Jullundur Motor Agency (Delhi) Limited,,,,UNMATCHED,0
JOCIL,Jocil Limited,,,,UNMATCHED,0
KAPSTON,Kapston Services Limited,,,,UNMATCHED,0
KNAGRI,KN Agri Resources Limited,,,,UNMATCHED,0
KOTARISUG,Kothari Sugars And Chemicals Limited,,,,UNMATCHED,0
KOTHARIPET,Kothari Petrochemicals Limited,,,,UNMATCHED,0
KRISHANA,Krishana Phoschem Limited,,,,UNMATCHED,0
KRISHNADEF,Krishna Defence And Allied Industries Limited,,,,UNMATCHED,0
KRITIKA,Kritika Wires Limited,,,,UNMATCHED,0
KSHITIJPOL,Kshitij Polyline Limited,,,,UNMATCHED,0
LAGNAM,Lagnam Spintex Limited,,,,UNMATCHED,0
LATTEYS,Latteys Industries Limited,,,,UNMATCHED,0
LAXMICOT,Laxmi Cotspin Limited,,,,UNMATCHED,0
LCCINFOTEC,LCC Infotech Limited,,,,UNMATCHED,0
LEMERITE,Le Merite Exports Limited,,,,UNMATCHED,0
LEXUS,Lexus Granito (India) Limited,,,,UNMATCHED,0
LFIC,Lakshmi Finance & Industrial Corporation Limited,,,,UNMATCHED,0
LGHL,Laxmi Goldorna House Limited,,,,UNMATCHED,0
LIBAS,Libas Consumer Products Limited,,,,UNMATCHED,0
MACPOWER,Macpower CNC Machines Limited,,,,UNMATCHED,0
MAHESHWARI,Maheshwari Logistics Limited,,,,UNMATCHED,0
MALUPAPER,Malu Paper Mills Limited,,,,UNMATCHED,0
MARALOVER,Maral Overseas Limited,,,,UNMATCHED,0
MARINE,Marine Electricals (India) Limited,,,,UNMATCHED,0
MASKINVEST,Mask Investments Limited,,,,UNMATCHED,0
MBAPL,Madhya Bharat Agro Products Limited,,,,UNMATCHED,0
MCL,Madhav Copper Limited,,,,UNMATCHED,0
MITCON,MITCON Consultancy & Engineering Services Limited,,,,UNMATCHED,0
MITTAL,Mittal Life Style Limited,,,,UNMATCHED,0
MMP,MMP Industries Limited,,,,UNMATCHED,0
MODIRUBBER,Modi Rubber Limited,,,,UNMATCHED,0
MODTHREAD,Modern Threads (India) Limited,,,,UNMATCHED,0
MOKSH,Moksh Ornaments Limited,,,,UNMATCHED,0
MUKTAARTS,Mukta Arts Limited,,,,UNMATCHED,0
NBIFIN,N. B. I. Industrial Finance Company Limited,,,,UNMATCHED,0
NDGL,Naga Dhunseri Group Limited,,,,UNMATCHED,0
NIMBSPROJ,Nimbus Projects Limited,,,,UNMATCHED,0
NIRAJISPAT,Niraj Ispat Industries Limited,,,,UNMATCHED,0
NITIRAJ,Nitiraj Engineers Limited,,,,UNMATCHED,0
NKIND,NK Industries Limited,,,,UNMATCHED,0
NRL,Nupur Recyclers Limited,,,,UNMATCHED,0
OSIAHYPER,Osia Hyper Retail Limited,,,,UNMATCHED,0
OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited,,,,UNMATCHED,0
PANACHE,Panache Digilife Limited,,,,UNMATCHED,0
PANSARI,Pansari Developers Limited,,,,UNMATCHED,0
PAR,Par Drugs And Chemicals Limited,,,,UNMATCHED,0
PKTEA,The Peria Karamalai Tea & Produce Company Limited,,,,UNMATCHED,0
PODDARMENT,Poddar Pigments Limited,,,,UNMATCHED,0
PRECOT,Precot Limited,,,,UNMATCHED,0
PRITI,Priti International Limited,,,,UNMATCHED,0
RAJMET,Rajnandini Metal Limited,,,,UNMATCHED,0
REPL,Rudrabhishek Enterprises Limited,,,,UNMATCHED,0
RKEC,RKEC Projects Limited,,,,UNMATCHED,0
RPPL,Rajshree Polypack Limited,,,,UNMATCHED,0
SAGARDEEP,Sagardeep Alloys Limited,,,,UNMATCHED,0
SAKAR,Sakar Healthcare Limited,,,,UNMATCHED,0
SANDESH,The Sandesh Limited,,,,UNMATCHED,0
SANGINITA,Sanginita Chemicals Limited,,,,UNMATCHED,0
SECMARK,SecMark Consultancy Limited,,,,UNMATCHED,0
SERVOTECH,Servotech Renewable Power System Limited,,,,UNMATCHED,0
SHANTI,Shanti Overseas (India) Limited,,,,UNMATCHED,0
SHIVAUM,Shiv Aum Steels Limited,,,,UNMATCHED,0
SHRADHA,Shradha Realty Limited,,,,UNMATCHED,0
SHRENIK,Shrenik Limited,,,,UNMATCHED,0
SIKKO,Sikko Industries Limited,,,,UNMATCHED,0
SILGO,Silgo Retail Limited,,,,UNMATCHED,0
SILLYMONKS,Silly Monks Entertainment Limited,,,,UNMATCHED,0
SINTERCOM,Sintercom India Limited,,,,UNMATCHED,0
SOLEX,Solex Energy Limited,,,,UNMATCHED,0
SONAL,Sonal Mercantile Limited,,,,UNMATCHED,0
SONAMLTD,SONAM LIMITED,,,,UNMATCHED,0
SPCENET,Spacenet Enterprises India Limited,,,,UNMATCHED,0
STEELCITY,Steel City Securities Limited,,,,UNMATCHED,0
SUMIT,Sumit Woods Limited,,,,UNMATCHED,0
SUPREMEENG,Supreme Engineering Limited,,,,UNMATCHED,0
SURYALAXMI,Suryalakshmi Cotton Mills Limited,,,,UNMATCHED,0
SVLL,Shree Vasu Logistics Limited,,,,UNMATCHED,0
TARACHAND,Tara Chand InfraLogistic Solutions Limited,,,,UNMATCHED,0
TEMBO,Tembo Global Industries Limited,,,,UNMATCHED,0
THEJO,Thejo Engineering Limited,,,,UNMATCHED,0
TIRUPATIFL,Tirupati Forge Limited,,,,UNMATCHED,0
TOTAL,Total Transport Systems Limited,,,,UNMATCHED,0
TOUCHWOOD,Touchwood Entertainment Limited,,,,UNMATCHED,0
TSFINV,TSF INVESTMENTS LIMITED,,,,UNMATCHED,0
UNIINFO,Uniinfo Telecom Services Limited,,,,UNMATCHED,0
UNITEDTEA,The United Nilgiri Tea Estates Company Limited,,,,UNMATCHED,0
UNIVASTU,Univastu India Limited,,,,UNMATCHED,0
UNIVPHOTO,Universus Photo Imagings Limited,,,,UNMATCHED,0
VAISHALI,Vaishali Pharma Limited,,,,UNMATCHED,0
VARDHACRLC,Vardhman Acrylics Limited,,,,UNMATCHED,0
VCL,Vaxtex Cotfab Limited,,,,UNMATCHED,0
VERTOZ,Vertoz Limited,,,,UNMATCHED,0
VHL,Vardhman Holdings Limited,,,,UNMATCHED,0
VITAL,Vital Chemtech Limited,,,,UNMATCHED,0
VIVIANA,Viviana Power Tech Limited,,,,UNMATCHED,0
WEIZMANIND,Weizmann Limited,,,,UNMATCHED,0
WINSOME,Winsome Yarns Limited,,,,UNMATCHED,0
WIPL,The Western India Plywoods Limited,,,,UNMATCHED,0
ZOTA,Zota Health Care LImited,,,,UNMATCHED,0
